Year,Site,Type,Management,Surveys,Survey Hrs,LT Max Adults,LT Nests,LT Nests Hatched,LT Chicks 0-14,LT Chicks 15-21,LT Fledglings,PP Max Adults,PP Nests,PP Nests Hatched,PP Chicks 0-14,PP Chicks 15-28,PP Fledglings
2025,Cottonwood Ranch,,,16,17,14,7,1,9,0,0,4,2,2,6,1,1
2025,DeWeese,,,6,3,0,0,0,0,0,0,0,0,0,0,0,0
2025,Dyer,,,19,25,14,11,0,0,0,0,14,14,2,7,0,0
2025,Ed Broadfoot and Sons,,,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2025,Follmer,,,12,11,70,40,14,29,0,0,8,5,0,0,0,0
2025,Hooker Brothers East,,,6,3,0,0,0,0,0,0,0,0,0,0,0,0
2025,Hooker Brothers Southeast,,,12,6,8,4,1,1,0,0,0,0,0,0,0,0
2025,Kearney Broadfoot South,,,17,17,16,6,2,8,0,0,13,11,1,3,3,0
2025,Leaman,,,19,11,20,11,0,0,0,0,8,4,2,7,6,0
2025,Newark East,,,18,14,45,37,0,14,0,0,17,13,5,16,5,0
2025,Newark West,,,18,13,22,25,0,3,0,0,7,5,0,0,0,0
2025,Non-Access Islands Kearney Broadfoot South,,,9,5,1,0,0,0,0,0,3,0,0,0,0,0
2025,OSG Lexington,,,19,27,36,22,4,11,0,0,11,7,3,6,2,2
2025,T&F Lakeside ,,,9,5,3,0,0,0,0,0,0,0,0,0,0,0
2025,Trust Wildrose East,,,19,9,4,2,0,0,0,0,2,1,1,4,0,0
2024,Blue Hole,Sandpit,PT,35,59,26,18,11,24,16,18,12,9,6,22,8,8
2024,Cottonwood Ranch,Sandpit,HPFT,31,28,22,13,2,3,2,2,4,6,2,8,3,2
2024,DeWeese,Sandpit,NA,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2024,Dyer,Sandpit,HPFT,30,40,46,38,8,17,2,0,16,12,3,11,3,3
2024,Ed Broadfoot and Sons,Sandpit,NA,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2024,Follmer,Sandpit,BHPT,28,25,20,12,9,16,13,13,2,1,1,3,2,0
2024,Hooker Brothers East,Sandpit,NA,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2024,Hooker Brothers Southeast,Sandpit,NA,20,10,18,9,6,10,6,5,0,0,0,0,0,0
2024,Johnson,Sandpit,PF,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2024,Kearney Broadfoot South,Sandpit,BHPFTIL,33,29,18,16,4,8,4,4,13,13,2,6,1,1
2024,Leaman,Sandpit,HPFTL,34,25,32,18,16,34,26,18,6,2,2,6,3,3
2024,Newark East,Sandpit,HPFTA,39,32,55,40,16,27,21,21,18,12,8,29,27,26
2024,Newark West,Sandpit,HPFTLE,37,24,40,32,18,35,30,30,6,7,3,12,11,11
2024,Non-Access Islands Kearney Broadfoot South,Sandpit,TA,24,13,4,2,1,2,2,2,6,1,0,0,0,0
2024,NPPD Lexington,Sandpit,PFT,19,20,10,2,0,0,0,0,2,2,0,0,0,0
2024,OSG Lexington,Sandpit,BHPFT,32,51,39,21,4,8,5,5,14,8,7,19,9,6
2024,T&F Lakeside ,Sandpit,NA,8,4,0,0,0,0,0,0,0,0,0,0,0,0
2024,Trust Wildrose East,Sandpit,DP,26,13,4,0,0,0,0,0,2,1,1,4,3,3
2023,Blue Hole,Sandpit,PT,36,57,24,20,11,25,15,17,12,7,5,20,10,10
