"","Nest","Year","Species","Site","First_Date","Last_Date","Duration","Fate","Chicks_First","Chicks_Last","Proporation_Lost","Camera"
"1","01-L08",2008,"PIPL","NPPD Lexington",2008-05-05,2008-05-30,25,NA,NA,0,NA,"0"
"2","02-L08",2008,"PIPL","NPPD Lexington",2008-05-12,2008-05-30,18,NA,NA,0,NA,"0"
"3","03-L08",2008,"PIPL","NPPD Lexington",2008-05-12,2008-05-30,18,NA,NA,0,NA,"0"
"4","04-L08",2008,"PIPL","NPPD Lexington",2008-05-19,2008-06-11,23,"Unknown Outcome",NA,0,NA,"0"
"5","05-L08",2008,"PIPL","NPPD Lexington",2008-05-19,2008-06-15,27,"Unknown Outcome",NA,0,NA,"0"
"6","06-L08",2008,"LETE","NPPD Lexington",2008-05-30,2008-07-02,33,"Unknown Outcome",NA,0,NA,"0"
"7","07-L08",2008,"LETE","NPPD Lexington",2008-06-02,2008-06-11,9,"Unknown Outcome",NA,0,NA,"0"
"8","08-01BH",2008,"PIPL","Blue Hole",2008-05-05,2008-06-02,28,"Failed-Weather",4,0,1,"0"
"9","08-02BH",2008,"PIPL","Blue Hole",2008-05-05,2008-06-21,47,"Fledged",4,2,0.5,"0"
"10","08-03BH",2008,"PIPL","Blue Hole",2008-05-05,2008-06-02,28,"Failed-Weather",2,0,1,"0"
"11","08-04BH",2008,"LETE","Blue Hole",2008-05-28,2008-05-30,2,NA,NA,0,NA,"0"
"12","08-05BH",2008,"LETE","Blue Hole",2008-05-28,2008-07-15,48,"Fledged",2,2,0,"0"
"13","08-06BH",2008,"LETE","Blue Hole",2008-05-28,2008-07-15,48,"Fledged",3,3,0,"0"
"14","08-07BH",2008,"LETE","Blue Hole",2008-06-02,2008-07-15,43,"Fledged",2,1,0.5,"0"
"15","08-08BH",2008,"LETE","Blue Hole",2008-06-04,2008-06-21,17,NA,NA,0,NA,"0"
"16","08-09BH",2008,"LETE","Blue Hole",2008-06-06,2008-07-21,45,"Fledged",2,2,0,"0"
"17","08-10BH",2008,"LETE","Blue Hole",2008-06-11,2008-07-21,40,"Fledged",2,2,0,"0"
"18","08-11BH",2008,"LETE","Blue Hole",2008-06-11,2008-07-25,44,"Fledged",2,2,0,"0"
"19","08-12BH",2008,"LETE","Blue Hole",2008-06-25,2008-08-04,40,"Fledged",2,2,0,"0"
"20","08-13BH",2008,"LETE","Blue Hole",2008-06-25,2008-07-15,20,"Unknown Outcome",NA,0,NA,"0"
"21","08-14BH",2008,"LETE","Blue Hole",2008-06-27,2008-07-15,18,"Unknown Outcome",NA,0,NA,"0"
"22","08-15BH",2008,"LETE","Blue Hole",2008-06-27,2008-08-09,43,"Fledged",2,2,0,"0"
"23","08-16BH",2008,"PIPL","Blue Hole",2008-06-27,2008-08-11,45,"Fledged",4,4,0,"0"
"24","08-17BH",2008,"LETE","Blue Hole",2008-06-29,2008-07-15,16,"Unknown Outcome",NA,0,NA,"0"
"25","08-18BH",2008,"LETE","Blue Hole",2008-08-18,2008-08-24,6,"Unknown Outcome",1,0,1,"0"
"26","08-L08",2008,"LETE","NPPD Lexington",2008-06-04,2008-07-15,41,"Fledged",2,2,0,"0"
"27","09-L08",2008,"LETE","NPPD Lexington",2008-06-11,2008-07-15,34,"Fledged",3,3,0,"0"
"28","10-L08",2008,"LETE","NPPD Lexington",2008-06-11,2008-07-25,44,"Fledged",2,2,0,"0"
"29","100-09",2009,"PIPL","NPPD Lexington",2009-05-11,2009-06-24,44,"Fledged",4,3,0.25,"0"
"30","101-06",2006,"PIPL","NPPD Lexington",2006-05-03,2006-05-29,26,NA,NA,0,NA,"0"
"31","101-09",2009,"PIPL","NPPD Lexington",2009-05-07,2009-05-15,8,NA,NA,0,NA,"0"
"32","101PP-07",2007,"PIPL","NPPD Lexington",2007-05-04,2007-06-26,53,"Fledged",1,1,0,"0"
"33","101PP-10",2010,"PIPL","NPPD Lexington",2010-05-11,2010-06-21,41,"Fledged",4,2,0.5,"0"
"34","102-06",2006,"PIPL","NPPD Lexington",2006-05-12,2006-05-23,11,NA,NA,0,NA,"0"
"35","102-09",2009,"PIPL","NPPD Lexington",2009-05-11,2009-07-06,56,"Fledged",2,2,0,"0"
"36","102PP-07",2007,"PIPL","NPPD Lexington",2007-05-11,2007-05-30,19,NA,NA,0,NA,"0"
"37","102PP-10",2010,"PIPL","NPPD Lexington",2010-05-11,2010-06-29,49,"Fledged",3,3,0,"0"
"38","103-06",2006,"PIPL","NPPD Lexington",2006-05-19,2006-05-26,7,NA,NA,0,NA,"0"
"39","103-09",2009,"LETE","NPPD Lexington",2009-05-29,2009-07-16,48,"Fledged",3,1,0.666666666666667,"0"
"40","103PP-07",2007,"PIPL","NPPD Lexington",2007-05-11,2007-07-05,55,"Fledged",4,4,0,"0"
"41","103PP-10",2010,"PIPL","NPPD Lexington",2010-05-11,2010-05-31,20,NA,NA,0,NA,"0"
"42","104-06",2006,"PIPL","NPPD Lexington",2006-05-19,2006-06-30,42,"Fledged",3,2,0.333333333333333,"0"
"43","104-09",2009,"LETE","NPPD Lexington",2009-05-29,2009-06-24,26,"Unknown Outcome",1,0,1,"0"
"44","104LT-10",2010,"LETE","NPPD Lexington",2010-05-31,2010-07-12,42,"Fledged",1,2,-1,"0"
"45","104PP-07",2007,"PIPL","NPPD Lexington",2007-05-11,2007-06-26,46,"Fledged",4,1,0.75,"0"
"46","105-06",2006,"LETE","NPPD Lexington",2006-05-29,2006-06-18,20,NA,NA,0,NA,"0"
"47","105-09",2009,"PIPL","NPPD Lexington",2009-05-30,2009-07-06,37,"Unknown Outcome",2,0,1,"0"
"48","105LT-10",2010,"LETE","NPPD Lexington",2010-05-31,2010-07-09,39,"Fledged",2,2,0,"0"
"49","105PP-07",2007,"PIPL","NPPD Lexington",2007-05-25,2007-07-09,45,"Fledged",1,1,0,"0"
"50","106-06",2006,"LETE","NPPD Lexington",2006-05-29,2006-06-26,28,"Failed-Predation",2,0,1,"0"
"51","106-09",2009,"LETE","NPPD Lexington",2009-06-01,2009-07-16,45,"Fledged",1,2,-1,"0"
